DAQ	Glob	AB	FEMB	ASIC	ASICch	View	ViewCh
0	24	-1	-1	-1	-1	2	24
1	23	-1	-1	-1	-1	2	23
2	22	-1	-1	-1	-1	2	22
3	48	-1	-1	-1	-1	0	0
4	21	-1	-1	-1	-1	2	21
5	20	-1	-1	-1	-1	2	20
6	49	-1	-1	-1	-1	0	1
7	19	-1	-1	-1	-1	2	19
8	18	-1	-1	-1	-1	2	18
9	17	-1	-1	-1	-1	2	17
10	16	-1	-1	-1	-1	2	16
11	50	-1	-1	-1	-1	0	2
12	15	-1	-1	-1	-1	2	15
13	14	-1	-1	-1	-1	2	14
14	51	-1	-1	-1	-1	0	3
15	13	-1	-1	-1	-1	2	13
16	12	-1	-1	-1	-1	2	12
17	11	-1	-1	-1	-1	2	11
18	10	-1	-1	-1	-1	2	10
19	52	-1	-1	-1	-1	0	4
20	9	-1	-1	-1	-1	2	9
21	8	-1	-1	-1	-1	2	8
22	53	-1	-1	-1	-1	0	5
23	7	-1	-1	-1	-1	2	7
24	6	-1	-1	-1	-1	2	6
25	5	-1	-1	-1	-1	2	5
26	4	-1	-1	-1	-1	2	4
27	54	-1	-1	-1	-1	0	6
28	3	-1	-1	-1	-1	2	3
29	2	-1	-1	-1	-1	2	2
30	55	-1	-1	-1	-1	0	7
31	1	-1	-1	-1	-1	2	1
32	72	-1	-1	-1	-1	0	24
33	73	-1	-1	-1	-1	0	25
34	74	-1	-1	-1	-1	0	26
35	75	-1	-1	-1	-1	0	27
36	76	-1	-1	-1	-1	0	28
37	77	-1	-1	-1	-1	0	29
38	78	-1	-1	-1	-1	0	30
39	79	-1	-1	-1	-1	0	31
40	80	-1	-1	-1	-1	0	32
41	81	-1	-1	-1	-1	0	33
42	82	-1	-1	-1	-1	0	34
43	83	-1	-1	-1	-1	0	35
44	84	-1	-1	-1	-1	0	36
45	85	-1	-1	-1	-1	0	37
46	86	-1	-1	-1	-1	0	38
47	87	-1	-1	-1	-1	0	39
48	56	-1	-1	-1	-1	0	8
49	57	-1	-1	-1	-1	0	9
50	58	-1	-1	-1	-1	0	10
51	59	-1	-1	-1	-1	0	11
52	60	-1	-1	-1	-1	0	12
53	61	-1	-1	-1	-1	0	13
54	62	-1	-1	-1	-1	0	14
55	63	-1	-1	-1	-1	0	15
56	64	-1	-1	-1	-1	0	16
57	65	-1	-1	-1	-1	0	17
58	66	-1	-1	-1	-1	0	18
59	67	-1	-1	-1	-1	0	19
60	68	-1	-1	-1	-1	0	20
61	69	-1	-1	-1	-1	0	21
62	70	-1	-1	-1	-1	0	22
63	71	-1	-1	-1	-1	0	23
64	36	-1	-1	-1	-1	2	36
65	35	-1	-1	-1	-1	2	35
66	34	-1	-1	-1	-1	2	34
67	0	-1	-1	-1	-1	2	0
68	33	-1	-1	-1	-1	2	33
69	32	-1	-1	-1	-1	2	32
70	88	-1	-1	-1	-1	1	0
71	31	-1	-1	-1	-1	2	31
72	30	-1	-1	-1	-1	2	30
73	29	-1	-1	-1	-1	2	29
74	28	-1	-1	-1	-1	2	28
75	89	-1	-1	-1	-1	1	1
76	27	-1	-1	-1	-1	2	27
77	26	-1	-1	-1	-1	2	26
78	90	-1	-1	-1	-1	1	2
79	25	-1	-1	-1	-1	2	25
80	91	-1	-1	-1	-1	1	3
81	47	-1	-1	-1	-1	2	47
82	46	-1	-1	-1	-1	2	46
83	125	-1	-1	-1	-1	1	37
84	45	-1	-1	-1	-1	2	45
85	44	-1	-1	-1	-1	2	44
86	92	-1	-1	-1	-1	1	4
87	43	-1	-1	-1	-1	2	43
88	42	-1	-1	-1	-1	2	42
89	41	-1	-1	-1	-1	2	41
90	40	-1	-1	-1	-1	2	40
91	126	-1	-1	-1	-1	1	38
92	39	-1	-1	-1	-1	2	39
93	38	-1	-1	-1	-1	2	38
94	127	-1	-1	-1	-1	1	39
95	37	-1	-1	-1	-1	2	37
96	94	-1	-1	-1	-1	1	6
97	95	-1	-1	-1	-1	1	7
98	96	-1	-1	-1	-1	1	8
99	97	-1	-1	-1	-1	1	9
100	98	-1	-1	-1	-1	1	10
101	99	-1	-1	-1	-1	1	11
102	100	-1	-1	-1	-1	1	12
103	101	-1	-1	-1	-1	1	13
104	102	-1	-1	-1	-1	1	14
105	103	-1	-1	-1	-1	1	15
106	104	-1	-1	-1	-1	1	16
107	105	-1	-1	-1	-1	1	17
108	106	-1	-1	-1	-1	1	18
109	107	-1	-1	-1	-1	1	19
110	108	-1	-1	-1	-1	1	20
111	109	-1	-1	-1	-1	1	21
112	110	-1	-1	-1	-1	1	22
113	111	-1	-1	-1	-1	1	23
114	112	-1	-1	-1	-1	1	24
115	113	-1	-1	-1	-1	1	25
116	114	-1	-1	-1	-1	1	26
117	115	-1	-1	-1	-1	1	27
118	116	-1	-1	-1	-1	1	28
119	117	-1	-1	-1	-1	1	29
120	118	-1	-1	-1	-1	1	30
121	119	-1	-1	-1	-1	1	31
122	120	-1	-1	-1	-1	1	32
123	121	-1	-1	-1	-1	1	33
124	122	-1	-1	-1	-1	1	34
125	123	-1	-1	-1	-1	1	35
126	124	-1	-1	-1	-1	1	36
127	93	-1	-1	-1	-1	1	5
