DAQ	Glob	AB	FEMB	ASIC	ASICch	View	ViewCh
0	11	-1	-1	-1	-1	2	11
1	10	-1	-1	-1	-1	2	10
2	52	-1	-1	-1	-1	0	4
3	9	-1	-1	-1	-1	2	9
4	8	-1	-1	-1	-1	2	8
5	53	-1	-1	-1	-1	0	5
6	7	-1	-1	-1	-1	2	7
7	6	-1	-1	-1	-1	2	6
8	5	-1	-1	-1	-1	2	5
9	4	-1	-1	-1	-1	2	4
10	54	-1	-1	-1	-1	0	6
11	3	-1	-1	-1	-1	2	3
12	2	-1	-1	-1	-1	2	2
13	55	-1	-1	-1	-1	0	7
14	1	-1	-1	-1	-1	2	1
15	0	-1	-1	-1	-1	2	0
16	56	-1	-1	-1	-1	0	8
17	57	-1	-1	-1	-1	0	9
18	58	-1	-1	-1	-1	0	10
19	59	-1	-1	-1	-1	0	11
20	60	-1	-1	-1	-1	0	12
21	61	-1	-1	-1	-1	0	13
22	62	-1	-1	-1	-1	0	14
23	63	-1	-1	-1	-1	0	15
24	64	-1	-1	-1	-1	0	16
25	65	-1	-1	-1	-1	0	17
26	66	-1	-1	-1	-1	0	18
27	67	-1	-1	-1	-1	0	19
28	68	-1	-1	-1	-1	0	20
29	69	-1	-1	-1	-1	0	21
30	70	-1	-1	-1	-1	0	22
31	71	-1	-1	-1	-1	0	23
32	72	-1	-1	-1	-1	0	24
33	73	-1	-1	-1	-1	0	25
34	74	-1	-1	-1	-1	0	26
35	75	-1	-1	-1	-1	0	27
36	76	-1	-1	-1	-1	0	28
37	77	-1	-1	-1	-1	0	29
38	78	-1	-1	-1	-1	0	30
39	79	-1	-1	-1	-1	0	31
40	80	-1	-1	-1	-1	0	32
41	81	-1	-1	-1	-1	0	33
42	82	-1	-1	-1	-1	0	34
43	83	-1	-1	-1	-1	0	35
44	84	-1	-1	-1	-1	0	36
45	85	-1	-1	-1	-1	0	37
46	86	-1	-1	-1	-1	0	38
47	87	-1	-1	-1	-1	0	39
48	23	-1	-1	-1	-1	2	23
49	22	-1	-1	-1	-1	2	22
50	48	-1	-1	-1	-1	0	0
51	21	-1	-1	-1	-1	2	21
52	20	-1	-1	-1	-1	2	20
53	49	-1	-1	-1	-1	0	1
54	19	-1	-1	-1	-1	2	19
55	18	-1	-1	-1	-1	2	18
56	17	-1	-1	-1	-1	2	17
57	16	-1	-1	-1	-1	2	16
58	50	-1	-1	-1	-1	0	2
59	15	-1	-1	-1	-1	2	15
60	14	-1	-1	-1	-1	2	14
61	51	-1	-1	-1	-1	0	3
62	13	-1	-1	-1	-1	2	13
63	12	-1	-1	-1	-1	2	12
64	35	-1	-1	-1	-1	2	35
65	34	-1	-1	-1	-1	2	34
66	124	-1	-1	-1	-1	1	3
67	33	-1	-1	-1	-1	2	33
68	32	-1	-1	-1	-1	2	32
69	125	-1	-1	-1	-1	1	2
70	31	-1	-1	-1	-1	2	31
71	30	-1	-1	-1	-1	2	30
72	29	-1	-1	-1	-1	2	29
73	28	-1	-1	-1	-1	2	28
74	126	-1	-1	-1	-1	1	1
75	27	-1	-1	-1	-1	2	27
76	26	-1	-1	-1	-1	2	26
77	127	-1	-1	-1	-1	1	0
78	25	-1	-1	-1	-1	2	25
79	24	-1	-1	-1	-1	2	24
80	88	-1	-1	-1	-1	1	39
81	89	-1	-1	-1	-1	1	38
82	90	-1	-1	-1	-1	1	37
83	91	-1	-1	-1	-1	1	36
84	92	-1	-1	-1	-1	1	35
85	93	-1	-1	-1	-1	1	34
86	94	-1	-1	-1	-1	1	33
87	95	-1	-1	-1	-1	1	32
88	96	-1	-1	-1	-1	1	31
89	97	-1	-1	-1	-1	1	30
90	98	-1	-1	-1	-1	1	29
91	99	-1	-1	-1	-1	1	28
92	100	-1	-1	-1	-1	1	27
93	101	-1	-1	-1	-1	1	26
94	102	-1	-1	-1	-1	1	25
95	103	-1	-1	-1	-1	1	24
96	104	-1	-1	-1	-1	1	23
97	105	-1	-1	-1	-1	1	22
98	106	-1	-1	-1	-1	1	21
99	107	-1	-1	-1	-1	1	20
100	108	-1	-1	-1	-1	1	19
101	109	-1	-1	-1	-1	1	18
102	110	-1	-1	-1	-1	1	17
103	111	-1	-1	-1	-1	1	16
104	112	-1	-1	-1	-1	1	15
105	113	-1	-1	-1	-1	1	14
106	114	-1	-1	-1	-1	1	13
107	115	-1	-1	-1	-1	1	12
108	116	-1	-1	-1	-1	1	11
109	117	-1	-1	-1	-1	1	10
110	118	-1	-1	-1	-1	1	9
111	119	-1	-1	-1	-1	1	8
112	47	-1	-1	-1	-1	2	47
113	46	-1	-1	-1	-1	2	46
114	120	-1	-1	-1	-1	1	7
115	45	-1	-1	-1	-1	2	45
116	44	-1	-1	-1	-1	2	44
117	121	-1	-1	-1	-1	1	6
118	43	-1	-1	-1	-1	2	43
119	42	-1	-1	-1	-1	2	42
120	41	-1	-1	-1	-1	2	41
121	40	-1	-1	-1	-1	2	40
122	122	-1	-1	-1	-1	1	5
123	39	-1	-1	-1	-1	2	39
124	38	-1	-1	-1	-1	2	38
125	123	-1	-1	-1	-1	1	4
126	37	-1	-1	-1	-1	2	37
127	36	-1	-1	-1	-1	2	36
