DAQ	Glob	Det	Channel	Module
0	0	C0	0	0
1	1	C1	1	1
2	2	C2	2	2
3	3	C3	3	3
4	4	C4	4	4
5	5	C5	5	5
6	6	C6	6	6
7	7	C7	7	7
8	8	C8	8	8
9	9	C9	9	9
10	10	C10	10	10
11	11	C11	11	11
12	12	C12	12	12
13	13	C13	13	13
14	14	C14	14	14
15	15	C15	15	15
16	16	C16	16	16
17	17	C17	17	17
18	18	C18	18	18
19	19	C19	19	19
20	20	C20	20	20
21	21	C21	21	21
22	22	C22	22	22
23	23	C23	23	23
24	24	C24	24	24
25	25	C25	25	25
26	26	C26	26	26
27	27	C27	27	27
28	28	C28	28	28
29	29	C29	29	29
30	30	C30	30	30
31	31	C31	31	31
32	32	C32	32	32
33	33	C33	33	33
34	34	C34	34	34
35	35	C35	35	35
36	36	C36	36	36
37	37	C37	37	37
38	38	C38	38	38
39	39	C39	39	39
