DAQch	View	Vchannel	FEMB	FEMBch	ASIC	ASICch	gain	error
0	0	14	1	7	1	7	23.454	0.031
1	1	36	1	6	1	6	22.916	0.086
2	1	37	1	5	1	5	23.371	0.099
3	1	39	1	4	1	4	22.894	0.098
4	3	0	1	4	1	4	22.900	-1.000
5	3	1	1	5	1	5	22.900	-1.000
6	3	2	1	6	1	6	22.900	-1.000
7	3	3	1	7	1	7	22.900	-1.000
8	1	32	1	39	3	7	21.485	0.076
9	1	31	1	38	3	6	23.054	0.110
10	0	12	1	37	3	5	23.568	0.032
11	1	28	1	36	3	4	22.696	0.104
12	0	11	1	35	3	3	23.441	0.033
13	1	25	1	34	3	2	22.943	0.115
14	1	24	1	33	3	1	22.868	0.098
15	1	22	1	32	3	0	21.683	0.087
16	1	23	1	15	1	15	21.819	0.090
17	0	10	1	14	1	14	24.442	0.028
18	1	26	1	13	1	13	23.737	0.096
19	1	27	1	12	1	12	24.413	0.102
20	1	29	1	11	1	11	24.369	0.108
21	1	30	1	10	1	10	24.682	0.106
22	0	13	1	9	1	9	23.389	0.035
23	1	33	1	8	1	8	23.511	0.116
24	3	4	1	24	2	8	22.900	-1.000
25	3	5	1	25	2	9	22.900	-1.000
26	3	6	1	26	2	10	22.900	-1.000
27	3	7	1	27	2	11	22.900	-1.000
28	1	38	1	43	3	11	23.014	0.101
29	0	15	1	42	3	10	24.230	0.060
30	1	35	1	41	3	9	22.876	0.103
31	1	34	1	40	3	8	23.402	0.101
32	0	5	1	23	2	7	22.900	-1.000
33	1	13	1	22	2	6	24.077	0.104
34	0	6	1	21	2	5	23.380	0.019
35	1	16	1	20	2	4	23.532	0.101
36	1	17	1	19	2	3	23.262	0.105
37	1	19	1	18	2	2	22.307	0.088
38	1	20	1	17	2	1	23.565	0.117
39	0	9	1	16	2	0	23.236	0.022
40	0	4	1	55	4	7	22.900	-1.000
41	1	8	1	54	4	6	22.775	0.113
42	0	3	1	53	4	5	22.900	-1.000
43	1	5	1	52	4	4	24.034	0.102
44	1	4	1	51	4	3	23.488	0.106
45	1	2	1	50	4	2	22.898	0.114
46	1	1	1	49	4	1	22.905	0.116
47	0	0	1	48	4	0	21.924	0.021
48	1	0	1	31	2	15	23.890	0.182
49	0	1	1	30	2	14	22.900	-1.000
50	1	3	1	29	2	13	23.481	0.063
51	0	2	1	28	2	12	22.900	-1.000
52	1	6	1	27	2	11	23.480	0.095
53	1	7	1	26	2	10	24.091	0.107
54	1	9	1	25	2	9	23.521	0.103
55	1	10	1	24	2	8	22.911	0.091
56	1	21	1	63	4	15	22.103	0.090
57	0	8	1	62	4	14	22.468	0.059
58	1	18	1	61	4	13	22.304	0.092
59	0	7	1	60	4	12	22.664	0.017
60	1	15	1	59	4	11	22.886	0.117
61	1	14	1	58	4	10	21.606	0.089
62	1	12	1	57	4	9	22.744	0.096
63	1	11	1	56	4	8	22.715	0.105
64	0	21	1	71	5	7	22.325	0.036
65	1	53	1	70	5	6	21.036	0.078
66	0	22	1	69	5	5	22.540	0.034
67	1	56	1	68	5	4	22.021	0.099
68	1	57	1	67	5	3	21.308	0.079
69	1	59	1	66	5	2	21.649	0.082
70	1	60	1	65	5	1	21.107	0.071
71	0	25	1	64	5	0	20.629	0.032
72	0	20	1	103	7	7	22.733	0.027
73	1	48	1	102	7	6	22.343	0.097
74	0	19	1	101	7	5	22.761	0.037
75	1	45	1	100	7	4	20.503	0.079
76	1	44	1	99	7	3	22.795	0.093
77	1	42	1	98	7	2	22.542	0.094
78	1	41	1	97	7	1	22.510	0.080
79	0	16	1	96	7	0	20.742	0.038
80	1	40	1	79	5	15	22.051	0.080
81	0	17	1	78	5	14	22.808	0.031
82	1	43	1	77	5	13	23.318	0.094
83	0	18	1	76	5	12	23.263	0.031
84	1	46	1	75	5	11	22.048	0.081
85	1	47	1	74	5	10	22.301	0.083
86	1	49	1	73	5	9	21.752	0.083
87	1	50	1	72	5	8	22.870	0.092
88	1	61	1	111	7	15	22.531	0.092
89	0	24	1	110	7	14	22.131	0.031
90	1	58	1	109	7	13	22.729	0.103
91	0	23	1	108	7	12	24.140	0.043
92	1	55	1	107	7	11	23.526	0.087
93	1	54	1	106	7	10	21.640	0.085
94	1	52	1	105	7	9	22.368	0.090
95	1	51	1	104	7	8	22.936	0.102
96	0	30	1	87	6	7	21.721	0.052
