DAQ	Glob	AB	FEMB	ASIC	ASICch	View	ViewCh
0	23	-1	-1	-1	-1	2	23
1	22	-1	-1	-1	-1	2	22
2	48	-1	-1	-1	-1	0	0
3	21	-1	-1	-1	-1	2	21
4	20	-1	-1	-1	-1	2	20
5	49	-1	-1	-1	-1	0	1
6	19	-1	-1	-1	-1	2	19
7	18	-1	-1	-1	-1	2	18
8	17	-1	-1	-1	-1	2	17
9	16	-1	-1	-1	-1	2	16
10	50	-1	-1	-1	-1	0	2
11	15	-1	-1	-1	-1	2	15
12	14	-1	-1	-1	-1	2	14
13	51	-1	-1	-1	-1	0	3
14	13	-1	-1	-1	-1	2	13
15	12	-1	-1	-1	-1	2	12
16	11	-1	-1	-1	-1	2	11
17	10	-1	-1	-1	-1	2	10
18	52	-1	-1	-1	-1	0	4
19	9	-1	-1	-1	-1	2	9
20	8	-1	-1	-1	-1	2	8
21	53	-1	-1	-1	-1	0	5
22	7	-1	-1	-1	-1	2	7
23	6	-1	-1	-1	-1	2	6
24	5	-1	-1	-1	-1	2	5
25	4	-1	-1	-1	-1	2	4
26	54	-1	-1	-1	-1	0	6
27	3	-1	-1	-1	-1	2	3
28	2	-1	-1	-1	-1	2	2
29	55	-1	-1	-1	-1	0	7
30	1	-1	-1	-1	-1	2	1
31	0	-1	-1	-1	-1	2	0
32	72	-1	-1	-1	-1	0	24
33	73	-1	-1	-1	-1	0	25
34	74	-1	-1	-1	-1	0	26
35	75	-1	-1	-1	-1	0	27
36	76	-1	-1	-1	-1	0	28
37	77	-1	-1	-1	-1	0	29
38	78	-1	-1	-1	-1	0	30
39	79	-1	-1	-1	-1	0	31
40	80	-1	-1	-1	-1	0	32
41	81	-1	-1	-1	-1	0	33
42	82	-1	-1	-1	-1	0	34
43	83	-1	-1	-1	-1	0	35
44	84	-1	-1	-1	-1	0	36
45	85	-1	-1	-1	-1	0	37
46	86	-1	-1	-1	-1	0	38
47	87	-1	-1	-1	-1	0	39
48	56	-1	-1	-1	-1	0	8
49	57	-1	-1	-1	-1	0	9
50	58	-1	-1	-1	-1	0	10
51	59	-1	-1	-1	-1	0	11
52	60	-1	-1	-1	-1	0	12
53	61	-1	-1	-1	-1	0	13
54	62	-1	-1	-1	-1	0	14
55	63	-1	-1	-1	-1	0	15
56	64	-1	-1	-1	-1	0	16
57	65	-1	-1	-1	-1	0	17
58	66	-1	-1	-1	-1	0	18
59	67	-1	-1	-1	-1	0	19
60	68	-1	-1	-1	-1	0	20
61	69	-1	-1	-1	-1	0	21
62	70	-1	-1	-1	-1	0	22
63	71	-1	-1	-1	-1	0	23
64	35	-1	-1	-1	-1	2	35
65	34	-1	-1	-1	-1	2	34
66	124	-1	-1	-1	-1	1	36
67	33	-1	-1	-1	-1	2	33
68	32	-1	-1	-1	-1	2	32
69	125	-1	-1	-1	-1	1	37
70	31	-1	-1	-1	-1	2	31
71	30	-1	-1	-1	-1	2	30
72	29	-1	-1	-1	-1	2	29
73	28	-1	-1	-1	-1	2	28
74	126	-1	-1	-1	-1	1	38
75	27	-1	-1	-1	-1	2	27
76	26	-1	-1	-1	-1	2	26
77	127	-1	-1	-1	-1	1	39
78	25	-1	-1	-1	-1	2	25
79	24	-1	-1	-1	-1	2	24
80	47	-1	-1	-1	-1	2	47
81	46	-1	-1	-1	-1	2	46
82	120	-1	-1	-1	-1	1	32
83	45	-1	-1	-1	-1	2	45
84	44	-1	-1	-1	-1	2	44
85	121	-1	-1	-1	-1	1	33
86	43	-1	-1	-1	-1	2	43
87	42	-1	-1	-1	-1	2	42
88	41	-1	-1	-1	-1	2	41
89	40	-1	-1	-1	-1	2	40
90	122	-1	-1	-1	-1	1	34
91	39	-1	-1	-1	-1	2	39
92	38	-1	-1	-1	-1	2	38
93	123	-1	-1	-1	-1	1	35
94	37	-1	-1	-1	-1	2	37
95	36	-1	-1	-1	-1	2	36
96	88	-1	-1	-1	-1	1	0
97	89	-1	-1	-1	-1	1	1
98	90	-1	-1	-1	-1	1	2
99	91	-1	-1	-1	-1	1	3
100	92	-1	-1	-1	-1	1	4
101	93	-1	-1	-1	-1	1	5
102	94	-1	-1	-1	-1	1	6
103	95	-1	-1	-1	-1	1	7
104	96	-1	-1	-1	-1	1	8
105	97	-1	-1	-1	-1	1	9
106	98	-1	-1	-1	-1	1	10
107	99	-1	-1	-1	-1	1	11
108	100	-1	-1	-1	-1	1	12
109	101	-1	-1	-1	-1	1	13
110	102	-1	-1	-1	-1	1	14
111	103	-1	-1	-1	-1	1	15
112	104	-1	-1	-1	-1	1	16
113	105	-1	-1	-1	-1	1	17
114	106	-1	-1	-1	-1	1	18
115	107	-1	-1	-1	-1	1	19
116	108	-1	-1	-1	-1	1	20
117	109	-1	-1	-1	-1	1	21
118	110	-1	-1	-1	-1	1	22
119	111	-1	-1	-1	-1	1	23
120	112	-1	-1	-1	-1	1	24
121	113	-1	-1	-1	-1	1	25
122	114	-1	-1	-1	-1	1	26
123	115	-1	-1	-1	-1	1	27
124	116	-1	-1	-1	-1	1	28
125	117	-1	-1	-1	-1	1	29
126	118	-1	-1	-1	-1	1	30
127	119	-1	-1	-1	-1	1	31
