DAQ	Glob	Det	daphneCh	Module	type
0	8	C5	0	4	stream
1	10	C6	1	5	stream
2	9	C5	2	4	stream
3	11	C6	3	5	stream
4	14	C8	4	7	stream
5	12	C7	5	6	stream
6	15	C8	6	7	stream
7	13	C7	7	6	stream
8	4	C3	34	2	stream
9	5	C3	35	2	stream
10	6	C4	36	3	stream
11	7	C4	37	3	stream
12	2	C2	30	1	stream
13	3	C2	31	1	stream
14	0	C1	32	0	stream
15	1	C1	33	0	stream
16	16	M1	747	8	trigger
17	17	M1	745	8	trigger
18	18	M2	740	9	trigger
19	19	M2	742	9	trigger
20	20	M3	746	10	trigger
21	21	M3	744	10	trigger
22	22	M4	743	11	trigger
23	23	M4	741	11	trigger
24	24	M5	707	12	trigger
25	25	M5	700	12	trigger
26	26	M6	727	13	trigger
27	27	M6	720	13	trigger
28	28	M7	737	14	trigger
29	29	M7	730	14	trigger
30	30	M8	717	15	trigger
31	31	M8	710	15	trigger
32	32	P14	1004	16	trigger
33	33	P15	1042	17	trigger
34	34	P16	1010	18	trigger
35	35	P17	1044	19	trigger
36	36	P20	1000	20	trigger
37	37	P21	1026	21	trigger
38	38	P22	1017	22	trigger
39	39	P23	1022	23	trigger
